run_dir,run_name,seed,difficulty,finance_structure_strength,comm_structure_strength,comm_randomness,hvt_ratio,finance_w_group,finance_w_region,finance_w_ideo,finance_w_tier_dist,finance_base_bias,comm_avg_degree,comm_alpha0,comm_alpha_group,comm_alpha_region,comm_alpha_hier,comm_alpha_fin,ideo_threshold,op_num_cells,op_cell_size,hvt_f1,hvt_auc,role_f1_macro,imp_r2,finance_auc_uniform,finance_ap_uniform,finance_auc_hard_region,finance_ap_hard_region,comm_auc_uniform,comm_ap_uniform,comm_auc_hard_region,comm_ap_hard_region,difficulty_order
/content/drive/MyDrive/github-main/data/multiplex_baseline,multiplex_baseline,2025,baseline,1.0,1.0,0.0,0.07,2.0,1.5,1.0,1.0,0.1,3.5,0.1,1.5,1.0,1.5,1.5,0.2,20.0,4.0,0.6190476190476191,0.9768253968253968,0.4677023629964806,0.7323741912841797,,,,,,,,,1
/content/drive/MyDrive/github-main/data/multiplex_hard,multiplex_hard,2025,hard,0.7,0.7,0.5,0.07,2.0,1.5,1.0,1.0,0.1,3.5,0.1,1.5,1.0,1.5,1.5,0.2,20.0,4.0,0.6111111111111112,0.9587320574162679,0.546791143064435,0.7043024897575378,,,,,,,,,2
